,Name of movie,Year of relase,Description,Director,Genre,Star,Watchtime,Votes,Gross collection,Movie Rating,Metascore
208,Logan,2017,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",R,Action Drama Sci-Fi,['137 min'],137,"686,902",$226.28M,8.1,77
209,Room,I 2015,"Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.",R,Drama Thriller,['118 min'],118,"392,493",$14.68M,8.1,86
210,Wild Tales,2014,Six short stories that explore the extremities of human behavior involving people in distress.,R,Comedy Drama Thriller,['122 min'],122,"186,707",$3.11M,8.1,77
211,Soul,2020,"After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife.",PG,Animation Adventure Comedy,['100 min'],100,"277,340",*****,8.1,83
212,Winter Sleep,2014,A hotel owner and landlord in a remote Turkish village deals with conflicts within his family and a tenant behind on his rent.,Not Rated,Drama,['196 min'],196,"49,351",$0.17M,8.1,88
213,PK,2014,An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religion on its people.,Not Rated,Comedy Drama Musical,['153 min'],153,"172,302",$10.62M,8.1,^^^^^^
214,OMG: Oh My God!,2012,A shopkeeper takes God to court when his shop is destroyed by an earthquake.,Not Rated,Comedy Drama Fantasy,['125 min'],125,"55,073",$0.92M,8.1,^^^^^^
215,The Grand Budapest Hotel,2014,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.",R,Adventure Comedy Crime,['99 min'],99,"744,542",$59.10M,8.1,88
216,Gone Girl,2014,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",R,Drama Mystery Thriller,['149 min'],149,"907,426",$167.77M,8.1,79
217,Wolf Children,2012,"After her werewolf lover unexpectedly dies in an accident while hunting for food for their children, a young woman must find ways to raise the werewolf son and daughter that she had with him while keeping their trait hidden from society.",PG,Animation Drama Fantasy,['117 min'],117,"41,633",*****,8.1,71
218,Hacksaw Ridge,2016,"World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.",R,Biography Drama History,['139 min'],139,"466,887",$67.21M,8.1,71
219,Inside Out,I 2015,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",PG,Animation Adventure Comedy,['95 min'],95,"652,946",$356.46M,8.1,94
220,Barfi!,2012,Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal.,Not Rated,Comedy Drama Romance,['151 min'],151,"78,755",$2.80M,8.1,^^^^^^
221,12 Years a Slave,2013,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",R,Biography Drama History,['134 min'],134,"664,368",$56.67M,8.1,96
222,Rush,I 2013,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,R,Action Biography Drama,['123 min'],123,"452,060",$26.95M,8.1,74
223,Ford v Ferrari,2019,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,PG-13,Action Biography Drama,['152 min'],152,"334,706",$117.62M,8.1,81
224,Spotlight,I 2015,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",R,Biography Crime Drama,['129 min'],129,"441,941",$45.06M,8.1,93
225,Song of the Sea,2014,"Ben, a young Irish boy, and his little sister Saoirse, a girl who can turn into a seal, go on an adventure to free the fairies and save the spirit world.",PG,Animation Adventure Drama,['93 min'],93,"55,192",$0.86M,8.1,85
226,Kahaani,2012,"A pregnant woman's search for her missing husband takes her from London to Kolkata, but everyone she questions denies having ever met him.",Not Rated,Mystery Thriller,['122 min'],122,"60,329",$1.04M,8.1,^^^^^^
227,Prisoners,2013,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.",R,Crime Drama Mystery,['153 min'],153,"636,595",$61.00M,8.1,70
228,Mad Max: Fury Road,2015,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.",R,Action Adventure Sci-Fi,['120 min'],120,"926,031",$154.06M,8.1,90
229,Warrior,2011,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",PG-13,Action Drama Sport,['140 min'],140,"449,656",$13.66M,8.1,71
230,A Wednesday,2008,A retiring police officer reminisces about the most astounding day of his career. About a case that was never filed but continues to haunt him in his memories - the case of a man and a Wednesday.,Not Rated,Action Crime Drama,['104 min'],104,"76,329",*****,8.1,^^^^^^
231,Zack Snyder's Justice League,2021,"Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions.",R,Action Adventure Fantasy,['242 min'],242,"335,712",*****,8.1,54
232,Gran Torino,2008,"Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.",R,Drama,['116 min'],116,"741,348",$148.10M,8.1,72
233,Harry Potter and the Deathly Hallows: Part 2,2011,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",PG-13,Adventure Drama Fantasy,['130 min'],130,"801,725",$381.01M,8.1,85
234,Departures,2008,A newly unemployed cellist takes a job preparing the dead for funerals.,PG-13,Drama Music,['130 min'],130,"50,265",$1.50M,8.1,68
235,Hachi: A Dog's Tale,2009,A college professor bonds with an abandoned dog he takes into his home.,G,Biography Drama Family,['93 min'],93,"266,317",*****,8.1,^^^^^^
236,Mary and Max,2009,"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York.",Not Rated,Animation Comedy Drama,['92 min'],92,"170,408",*****,8.1,^^^^^^
237,How to Train Your Dragon,2010,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",PG,Animation Action Adventure,['98 min'],98,"693,198",$217.58M,8.1,75
238,Into the Wild,2007,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.",R,Adventure Biography Drama,['148 min'],148,"593,862",$18.35M,8.1,73
239,No Country for Old Men,2007,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,R,Crime Drama Thriller,['122 min'],122,"899,783",$74.28M,8.1,91
240,"Carry On, Munna Bhai",2006,Munna Bhai embarks on a journey with Mahatma Gandhi in order to fight against a corrupt property dealer.,Not Rated,Comedy Drama Romance,['144 min'],144,"45,230",$2.22M,8.1,^^^^^^
241,V for Vendetta,2005,"In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman.",R,Action Drama Sci-Fi,['132 min'],132,"1,065,673",$70.51M,8.1,62
242,Nobody Knows,2004,"In a small Tokyo apartment, twelve-year-old Akira must care for his younger siblings after their mother leaves them and shows no sign of returning.",PG-13,Drama,['141 min'],141,"26,322",$0.68M,8.1,88
243,Rang De Basanti,2006,"The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom.",Not Rated,Comedy Crime Drama,['167 min'],167,"116,443",$2.20M,8.1,^^^^^^
244,Million Dollar Baby,2004,A determined woman works with a hardened boxing trainer to become a professional.,PG-13,Drama Sport,['132 min'],132,"657,190",$100.49M,8.1,86
245,Hotel Rwanda,2004,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.",PG-13,Biography Drama History,['121 min'],121,"343,329",$23.53M,8.1,79
246,Before Sunset,2004,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",R,Drama Romance,['80 min'],80,"247,751",$5.82M,8.1,90
247,Munna Bhai M.B.B.S.,2003,A gangster sets out to fulfill his father's dream of becoming a doctor.,Not Rated,Comedy Drama,['156 min'],156,"77,826",*****,8.1,^^^^^^
248,Memories of Murder,2003,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.",Not Rated,Crime Drama Mystery,['132 min'],132,"158,191",$0.01M,8.1,82
249,Dil Chahta Hai,2001,"Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension.",Not Rated,Comedy Drama Romance,['183 min'],183,"69,665",$0.30M,8.1,^^^^^^
250,Kill Bill: Vol. 1,2003,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",R,Action Crime Drama,['111 min'],111,"1,044,965",$70.10M,8.1,69
251,Finding Nemo,2003,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",G,Animation Adventure Comedy,['100 min'],100,"983,353",$380.84M,8.1,90
252,Catch Me If You Can,2002,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",PG-13,Biography Crime Drama,['141 min'],141,"884,587",$164.62M,8.1,75
253,Love's a Bitch,2000,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.",R,Drama Thriller,['154 min'],154,"231,908",$5.38M,8.1,83
254,"Monsters, Inc.",2001,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.",G,Animation Adventure Comedy,['92 min'],92,"850,144",$289.92M,8.1,79
255,Neon Genesis Evangelion: The End of Evangelion,1997,Concurrent theatrical ending of the TV series Neon Genesis Evangelion (1995).,TV-MA,Animation Action Drama,['87 min'],87,"46,142",*****,8.1,^^^^^^
256,Lagaan: Once Upon a Time in India,2001,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,PG,Drama Musical Sport,['224 min'],224,"109,290",$0.07M,8.1,84
257,The Sixth Sense,1999,A boy who communicates with spirits seeks the help of a disheartened child psychologist.,PG-13,Drama Mystery Thriller,['107 min'],107,"941,565",$293.51M,8.1,64
258,The Celebration,1998,"At Helge's 60th birthday party, some unpleasant family truths are revealed.",R,Drama,['105 min'],105,"83,340",$1.65M,8.1,82
259,The Legend of 1900,1998,"A baby boy, discovered in 1900 on an ocean liner, grows into a musical prodigy, never setting foot on land.",R,Drama Music Romance,['169 min'],169,"61,461",$0.26M,8.1,58
260,The Truman Show,1998,An insurance salesman discovers his whole life is actually a reality TV show.,PG,Comedy Drama,['103 min'],103,"987,955",$125.62M,8.1,90
261,"Black Cat, White Cat",1998,Matko and his son Zare live on the banks of the Danube river and get by through hustling and basically doing anything to make a living. In order to pay off a business debt Matko agrees to marry off Zare to the sister of a local gangster.,R,Comedy Crime Romance,['127 min'],127,"52,374",$0.35M,8.1,73
262,The Big Lebowski,1998,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.",R,Comedy Crime Sport,['117 min'],117,"765,367",$17.50M,8.1,71
263,In the Mood for Love,2000,"Two neighbors form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.",PG,Drama Romance,['98 min'],98,"136,293",$2.73M,8.1,85
264,Trainspotting,1996,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",R,Drama,['93 min'],93,"655,516",$16.50M,8.1,83
265,Fargo,1996,Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,R,Crime Drama Thriller,['98 min'],98,"642,828",$24.61M,8.1,85
266,Underground,1995,"A group of Serbian socialists prepares for the war in a surreal underground filled by parties, tragedies, love and hate.",Not Rated,Comedy Drama Fantasy,['167 min'],167,"56,909",$0.17M,8.1,79
267,La Haine,1995,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,Not Rated,Crime Drama,['98 min'],98,"159,868",$0.31M,8.1,^^^^^^
268,Dilwale Dulhania Le Jayenge,1995,"When Raj meets Simran in Europe, it isn't love at first sight but when Simran moves to India for an arranged marriage, love makes its presence felt.",Not Rated,Drama Romance,['181 min'],181,"66,390",*****,8.1,^^^^^^
269,Before Sunrise,1995,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",R,Drama Romance,['101 min'],101,"286,603",$5.54M,8.1,77
270,Three Colors: Red,1994,A model discovers a retired judge is keen on invading people's privacy.,R,Drama Mystery Romance,['99 min'],99,"97,735",$4.04M,8.1,100
271,Chungking Express,1994,"Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal waitress at a late-night restaurant he frequents.",PG-13,Comedy Crime Drama,['102 min'],102,"71,386",$0.60M,8.1,78
272,Andaz Apna Apna,1994,Two slackers competing for the affections of an heiress inadvertently become her protectors from an evil criminal.,Not Rated,Action Comedy Romance,['160 min'],160,"51,687",*****,8.1,^^^^^^
273,Jurassic Park,1993,A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,PG-13,Action Adventure Sci-Fi,['127 min'],127,"908,243",$402.45M,8.1,68
274,In the Name of the Father,1993,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,R,Biography Crime Drama,['133 min'],133,"165,740",$25.01M,8.1,84
275,Farewell My Concubine,1993,Two boys meet at an opera training school in Peking in 1924. Their resulting friendship will span nearly 70 years and will endure some of the most troublesome times in China's history.,R,Drama Music Romance,['171 min'],171,"26,629",$5.22M,8.1,83
276,Raise the Red Lantern,1991,"A young woman becomes the fourth wife of a wealthy lord, and must learn to live with the strict rules and tensions within the household.",PG,Drama History Romance,['125 min'],125,"31,154",$2.60M,8.1,^^^^^^
277,Dead Poets Society,1989,Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.,PG,Comedy Drama,['128 min'],128,"448,566",$95.86M,8.1,79
278,The Princess Bride,1987,"While home sick in bed, a young boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.",PG,Adventure Family Fantasy,['98 min'],98,"407,831",$30.86M,8.1,77
279,Stand by Me,1986,"After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.",R,Adventure Drama,['89 min'],89,"379,806",$52.29M,8.1,75
280,Platoon,1986,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.",R,Drama War,['120 min'],120,"394,993",$138.53M,8.1,92
281,"Paris, Texas",1984,"Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family.",R,Drama,['145 min'],145,"98,880",$2.18M,8.1,78
282,Nausicaä of the Valley of the Wind,1984,Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,PG,Animation Adventure Fantasy,['117 min'],117,"159,719",$0.50M,8.1,86
283,The Thing,1982,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,R,Horror Mystery Sci-Fi,['109 min'],109,"390,542",$13.78M,8.1,57
284,Fitzcarraldo,1982,"The story of Brian Sweeney Fitzgerald, an extremely determined man who intends to build an opera house in the middle of a jungle.",PG,Adventure Drama,['158 min'],158,"33,331",*****,8.1,^^^^^^
285,Fanny and Alexander,1982,"Two young Swedish children experience the many comedies and tragedies of their family, the Ekdahls.",R,Drama,['188 min'],188,"60,655",$4.97M,8.1,100
286,Blade Runner,1982,"A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.",R,Action Sci-Fi Thriller,['117 min'],117,"721,064",$32.87M,8.1,84
287,The Elephant Man,1980,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.",PG,Biography Drama,['124 min'],124,"230,329",*****,8.1,78
288,Stalker,1979,A guide leads two men through an area known as the Zone to find a room that grants wishes.,Not Rated,Drama Sci-Fi,['162 min'],162,"125,927",$0.23M,8.1,^^^^^^
289,Monty Python's Life of Brian,1979,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah.",R,Comedy,['94 min'],94,"381,168",$20.05M,8.1,77
290,The Deer Hunter,1978,An in-depth examination of the ways in which the U.S. Vietnam War impacts and disrupts the lives of people in a small industrial town in Pennsylvania.,R,Drama War,['183 min'],183,"324,324",$48.98M,8.1,86
291,Rocky,1976,A small-time boxer gets a supremely rare chance to fight a heavyweight champion in a bout in which he strives to go the distance for his self-respect.,PG,Drama Sport,['120 min'],120,"539,185",$117.24M,8.1,70
292,Network,1976,A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit.,R,Drama,['121 min'],121,"152,176",*****,8.1,83
293,Barry Lyndon,1975,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,PG,Adventure Drama History,['185 min'],185,"158,114",*****,8.1,89
294,Mirror,1975,"A dying man in his forties remembers his past. His childhood, his mother, the war, personal moments and things that tell of the recent history of all the Russian nation.",Not Rated,Biography Drama,['107 min'],107,"43,256",$0.18M,8.1,80
295,Paper Moon,1973,"During the Great Depression, a con man finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership.",PG,Comedy Crime Drama,['102 min'],102,"44,521",$30.93M,8.1,77
296,Cries & Whispers,1972,"When a woman dying of cancer in early twentieth-century Sweden is visited by her two sisters, long-repressed feelings between the siblings rise to the surface.",R,Drama,['91 min'],91,"32,267",$1.74M,8.1,^^^^^^
297,Solaris,1972,A psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane.,PG,Drama Mystery Sci-Fi,['167 min'],167,"86,631",*****,8.1,90
298,Le Samouraï,1967,After professional hitman Jef Costello is seen by witnesses his efforts to provide himself an alibi drive him further into a corner.,GP,Crime Drama Mystery,['101 min'],101,"48,352",$0.04M,8.1,^^^^^^
299,Cool Hand Luke,1967,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.",GP,Crime Drama,['127 min'],127,"169,899",$16.22M,8.1,92
300,Persona,1966,A nurse is put in charge of a mute actress and finds that their personae are melding together.,Not Rated,Drama Thriller,['83 min'],83,"110,492",*****,8.1,86
301,Andrei Rublev,1966,"The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev.",R,Biography Drama History,['205 min'],205,"50,709",$0.10M,8.1,^^^^^^
302,The Battle of Algiers,1966,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.",Not Rated,Drama War,['121 min'],121,"56,710",$0.06M,8.1,96
303,The Exterminating Angel,1962,The guests at an upper-class dinner party find themselves unable to leave.,Not Rated,Drama Fantasy,['95 min'],95,"31,699",*****,8.1,^^^^^^
304,What Ever Happened to Baby Jane?,1962,A former child star torments her paraplegic sister in their decaying Hollywood mansion.,Passed,Drama Horror Thriller,['134 min'],134,"52,727",$4.05M,8.1,75
305,Sanjuro,1962,"A crafty samurai helps a young man and his fellow clansmen trying to save his uncle, who has been framed and imprisoned by a corrupt superintendent.",Not Rated,Action Comedy Crime,['96 min'],96,"36,583",*****,8.1,^^^^^^
306,The Man Who Shot Liberty Valance,1962,A senator returns to a western town for the funeral of an old friend and tells the story of his origins.,Approved,Drama Western,['123 min'],123,"72,431",*****,8.1,94
307,Ivan's Childhood,1962,"During WWII, Soviet orphan Ivan Bondarev strikes up a friendship with three sympathetic Soviet officers while working as a scout behind the German lines.",Not Rated,Drama War,['95 min'],95,"34,221",*****,8.1,^^^^^^
308,The Virgin Spring,1960,"An innocent yet pampered young virgin and her family's pregnant and jealous servant set out to deliver candles to church, but only one returns from events that transpire in the woods along the way.",Not Rated,Drama,['89 min'],89,"27,983",$1.53M,8.1,^^^^^^
309,Inherit the Wind,1960,"Based on a real-life case in 1925, two great lawyers argue the case for and against a science teacher accused of the crime of teaching evolution.",Passed,Biography Drama History,['128 min'],128,"28,956",*****,8.1,75
310,The 400 Blows,1959,"A young boy, left without attention, delves into a life of petty crime.",Not Rated,Crime Drama,['99 min'],99,"111,261",*****,8.1,^^^^^^
311,Ben-Hur,1959,"After a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge.",G,Adventure Drama History,['212 min'],212,"228,412",$74.70M,8.1,90
312,The Hidden Fortress,1958,"Lured by gold, two greedy peasants unknowingly escort a princess and her general across enemy lines.",Not Rated,Adventure Drama,['126 min'],126,"37,206",*****,8.1,^^^^^^
313,Nights of Cabiria,1957,A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak.,Not Rated,Drama,['110 min'],110,"45,896",$0.75M,8.1,^^^^^^
314,Throne of Blood,1957,"A war-hardened general, egged on by his ambitious wife, works to fulfill a prophecy that he would become lord of Spider's Web Castle.",Not Rated,Drama History,['110 min'],110,"49,640",*****,8.1,^^^^^^
315,The Bridge on the River Kwai,1957,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors, not knowing that the allied forces are planning to destroy it.",PG,Adventure Drama War,['161 min'],161,"211,093",$44.91M,8.1,87
316,Rififi,1955,"Four men plan a technically perfect crime, but the human element intervenes...",Not Rated,Crime Drama Thriller,['118 min'],118,"32,453",$0.06M,8.1,97
317,On the Waterfront,1954,An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.,Approved,Crime Drama Thriller,['108 min'],108,"148,313",$9.60M,8.1,91
318,Diabolique,1955,The wife and mistress of a loathed school principal plan to murder him with what they believe is the perfect alibi.,Not Rated,Crime Drama Horror,['117 min'],117,"63,832",*****,8.1,^^^^^^
319,The Wages of Fear,1953,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",Not Rated,Adventure Drama Thriller,['131 min'],131,"58,113",*****,8.1,85
320,Ace in the Hole,1951,"A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus.",Approved,Drama Film-Noir,['111 min'],111,"33,810",$3.97M,8.1,72
321,White Heat,1949,A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.,Not Rated,Action Crime Drama,['114 min'],114,"31,426",*****,8.1,^^^^^^
322,The Third Man,1949,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",Approved,Film-Noir Mystery Thriller,['93 min'],93,"165,020",$0.45M,8.1,97
323,The Red Shoes,1948,A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina.,Not Rated,Drama Music Romance,['135 min'],135,"32,921",$10.90M,8.1,^^^^^^
324,The Best Years of Our Lives,1946,Three World War II veterans return home to small-town America to discover that they and their families have been irreparably changed.,Approved,Drama Romance War,['170 min'],170,"60,924",$23.65M,8.1,93
325,The Shop Around the Corner,1940,"Two employees at a gift shop can barely stand each other, without realizing that they are falling in love through the post as each other's anonymous pen pal.",Not Rated,Comedy Drama Romance,['99 min'],99,"30,111",$0.20M,8.1,96
326,Rebecca,1940,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,Approved,Drama Mystery Romance,['130 min'],130,"130,915",$4.36M,8.1,86
327,The Grapes of Wrath,1940,"A poor Midwest family is forced off their land. They travel to California, suffering the misfortunes of the homeless in the Great Depression.",Passed,Drama History,['129 min'],129,"89,425",$0.06M,8.1,96
328,Mr. Smith Goes to Washington,1939,"A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down.",Passed,Comedy Drama,['129 min'],129,"111,282",$9.60M,8.1,73
329,Gone with the Wind,1939,A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.,Passed,Drama History Romance,['238 min'],238,"301,224",$198.68M,8.1,97
330,La Grande Illusion,1937,"During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress.",Not Rated,Drama War,['113 min'],113,"35,271",$0.17M,8.1,^^^^^^
331,It Happened One Night,1934,"A renegade reporter and a crazy young heiress meet on a bus heading for New York, and end up stuck with each other when the bus leaves them behind at one of the stops.",Passed,Comedy Romance,['105 min'],105,"98,698",$4.36M,8.1,87
332,All Quiet on the Western Front,1930,"A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror.",Passed,Drama War,['152 min'],152,"59,304",$3.27M,8.1,91
333,The Passion of Joan of Arc,1928,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.",Passed,Biography Drama History,['114 min'],114,"51,307",$0.02M,8.1,^^^^^^
334,The Circus,1928,The Tramp finds work and the girl of his dreams at a circus.,Passed,Comedy Romance,['72 min'],72,"32,170",*****,8.1,90
335,Sunrise,1927,"A sophisticated urban woman seduces a farmer in the hopes that he will murder his neglected wife and join her in the city, but he soon finds himself rekindling his romance with the latter when she discovers their scheme.",Passed,Drama Romance,['94 min'],94,"49,465",$0.54M,8.1,^^^^^^
336,The General,1926,"When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines.",Passed,Action Adventure Comedy,['67 min'],67,"86,716",$1.03M,8.1,^^^^^^
337,The Cabinet of Dr. Caligari,1920,"Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders.",Not Rated,Fantasy Horror Mystery,['67 min'],67,"60,220",*****,8.1,^^^^^^
338,Shang-Chi and the Legend of the Ten Rings,2021,"Shang-Chi, the master of unarmed weaponry-based Kung Fu, is forced to confront his past after being drawn into the Ten Rings organization.",PG-13,Action Adventure Fantasy,['132 min'],132,"78,497",*****,8.0,71
339,Badhaai Ho,2018,A man is embarrassed when he finds out his mother is pregnant.,Not Rated,Comedy Drama,['124 min'],124,"31,102",*****,8.0,^^^^^^
340,Togo,2019,"The story of Togo, the sled dog who led the 1925 serum run despite being considered too small and weak to lead such an intense race.",PG,Adventure Biography Drama,['113 min'],113,"42,979",*****,8.0,69
341,Airlift,2016,"When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen.",Not Rated,Drama History,['130 min'],130,"55,064",*****,8.0,^^^^^^
342,Bajrangi Bhaijaan,2015,An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.,Not Rated,Action Adventure Comedy,['163 min'],163,"80,839",$8.18M,8.0,^^^^^^
343,Baby,I 2015,"An elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent them from striking at the heart of India.",Not Rated,Action Thriller,['159 min'],159,"55,330",*****,8.0,^^^^^^
344,La La Land,2016,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",PG-13,Comedy Drama Music,['128 min'],128,"536,727",$151.10M,8.0,94
